spay_neuter,zip_code,year,month,day,day_of_week,bronx,brooklyn,manhattan,queens,staten_island,pit_bull,other,shih_tzu,chihuahua,german_shepherd,labrador_retriever,bull_dog,yorkshire_terrier,maltese,standard_poodle,husky
False,11208,2018,2,18,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11231,2018,2,19,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11216,2018,2,20,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11209,2018,2,16,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11212,2018,2,19,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,11230,2018,2,17,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,11220,2018,2,11,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11201,2018,2,17,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11231,2018,2,21,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,11219,2018,2,7,2,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,11214,2018,2,9,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,11233,2018,2,22,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,11236,2018,2,24,5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11234,2018,2,25,6,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
False,11233,2018,2,24,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11218,2018,2,25,6,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,11214,2018,2,26,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,2,27,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11220,2018,2,26,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,11233,2018,2,17,5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,11201,2018,2,26,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11206,2018,3,4,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11208,2018,3,3,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11209,2018,3,2,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11215,2018,3,4,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11234,2018,3,4,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,11225,2018,3,5,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11208,2018,3,4,6,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,11209,2018,2,28,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11215,2018,3,5,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,3,6,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,11220,2018,3,6,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,11229,2018,3,6,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11234,2018,3,3,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11219,2018,2,21,2,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,11236,2018,3,4,6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,11212,2018,2,22,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11234,2018,3,11,6,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11219,2018,3,12,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,11231,2018,3,11,6,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11222,2018,3,9,4,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,11220,2018,3,15,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11229,2018,3,17,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11206,2018,3,17,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11223,2018,3,17,5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
False,11216,2018,3,18,6,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11211,2018,3,18,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11208,2018,3,18,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11203,2018,3,17,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11206,2018,3,11,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11209,2018,3,20,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11215,2018,3,22,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11238,2018,3,17,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11216,2018,3,21,2,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,11226,2018,3,11,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11225,2018,3,26,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11204,2018,3,22,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11215,2018,3,25,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,11218,2018,3,23,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11207,2018,3,26,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,11208,2018,3,27,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11209,2018,3,23,4,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,11208,2018,3,27,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,11207,2018,3,26,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
