date_of_bite,year,month,day,day_of_week,borough,zip_code,latitude,longitude,spay_neuter,mixed/other,pit_bull,german_shepherd,shih_tzu,chihuahua,yorkshire_terrier,bull_dog,labrador_retriever,maltese,husky,standard_poodle,cluster
2018-01-21,2018,1,21,6,brooklyn,11207,40.670157,-73.893835,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-01-21,2018,1,21,6,brooklyn,11207,40.670157,-73.893835,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-02-09,2018,2,9,4,brooklyn,11233,40.678301,-73.919932,False,False,False,False,False,True,False,False,False,False,False,False,0
2018-02-07,2018,2,7,2,brooklyn,11216,40.680844,-73.949222,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-02-13,2018,2,13,1,brooklyn,11231,40.677916,-74.005154,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-05,2018,2,5,0,brooklyn,11234,40.607723,-73.910649,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-02-12,2018,2,12,0,brooklyn,11235,40.58422,-73.943167,False,False,False,True,False,False,False,False,False,False,False,False,0
2018-02-15,2018,2,15,3,brooklyn,11215,40.662688,-73.98674,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-10,2018,2,10,5,brooklyn,11239,40.64689,-73.864014,True,False,False,False,False,False,False,False,True,False,False,False,0
2018-02-16,2018,2,16,4,brooklyn,11236,40.639413,-73.900664,False,False,False,False,True,False,False,False,False,False,False,False,0
2018-02-14,2018,2,14,2,brooklyn,11216,40.680844,-73.949222,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-19,2018,2,19,0,brooklyn,11231,40.677916,-74.005154,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-20,2018,2,20,1,brooklyn,11216,40.680844,-73.949222,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-16,2018,2,16,4,brooklyn,11209,40.621803,-74.03015,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-19,2018,2,19,0,brooklyn,11212,40.662905,-73.913071,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-02-17,2018,2,17,5,brooklyn,11230,40.622089,-73.96519,True,False,False,False,False,False,False,False,False,False,False,True,0
2018-02-11,2018,2,11,6,brooklyn,11220,40.641026,-74.016688,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-17,2018,2,17,5,brooklyn,11201,40.6937,-73.989859,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-21,2018,2,21,2,brooklyn,11231,40.677916,-74.005154,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-07,2018,2,7,2,brooklyn,11219,40.63262,-73.99677,True,False,False,False,False,False,False,False,True,False,False,False,0
2018-02-09,2018,2,9,4,brooklyn,11214,40.59969,-73.996372,True,False,False,False,False,True,False,False,False,False,False,False,0
2018-02-22,2018,2,22,3,brooklyn,11233,40.678301,-73.919932,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-02-24,2018,2,24,5,brooklyn,11236,40.639413,-73.900664,True,False,True,False,False,False,False,False,False,False,False,False,0
2018-02-25,2018,2,25,6,brooklyn,11234,40.607723,-73.910649,False,False,False,False,False,False,True,False,False,False,False,False,0
2018-02-24,2018,2,24,5,brooklyn,11233,40.678301,-73.919932,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-25,2018,2,25,6,brooklyn,11218,40.64312,-73.976446,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-02-26,2018,2,26,0,brooklyn,11214,40.59969,-73.996372,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-27,2018,2,27,1,brooklyn,11208,40.674847,-73.87248,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-02-26,2018,2,26,0,brooklyn,11220,40.641026,-74.016688,False,False,False,False,False,False,False,False,False,False,False,True,0
2018-02-17,2018,2,17,5,brooklyn,11233,40.678301,-73.919932,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-02-26,2018,2,26,0,brooklyn,11201,40.6937,-73.989859,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-04,2018,3,4,6,brooklyn,11206,40.70187,-73.942552,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-03,2018,3,3,5,brooklyn,11208,40.674847,-73.87248,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-02,2018,3,2,4,brooklyn,11209,40.621803,-74.03015,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-04,2018,3,4,6,brooklyn,11215,40.662688,-73.98674,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-04,2018,3,4,6,brooklyn,11234,40.607723,-73.910649,True,False,False,False,False,False,False,False,False,False,True,False,0
2018-03-05,2018,3,5,0,brooklyn,11225,40.663119,-73.953867,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-02-28,2018,2,28,2,brooklyn,11209,40.621803,-74.03015,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-05,2018,3,5,0,brooklyn,11215,40.662688,-73.98674,False,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-06,2018,3,6,1,brooklyn,11220,40.641026,-74.016688,False,False,True,False,False,False,False,False,False,False,False,False,0
2018-03-06,2018,3,6,1,brooklyn,11229,40.601293,-73.944493,True,True,False,False,False,False,False,False,False,False,False,False,0
2018-03-03,2018,3,3,5,brooklyn,11234,40.607723,-73.910649,False,True,False,False,False,False,False,False,False,False,False,False,0
